true_phi,p1,p2,n,power,median_hw,p90_hw,feasible,n_sims_used
0.5,0.2,0.2,90,0.3200,0.2141,0.2529,True,100
0.5,0.2,0.2,110,0.6400,0.1894,0.2291,True,100
0.5,0.2,0.2,130,0.8400,0.1740,0.2066,True,100
0.5,0.2,0.2,150,0.9700,0.1664,0.1851,True,100
0.5,0.2,0.2,200,1.0000,0.1410,0.1605,True,100
0.5,0.3,0.3,30,0.0100,0.3181,0.3808,True,100
0.5,0.3,0.3,50,0.1100,0.2420,0.2897,True,100
0.5,0.3,0.3,70,0.2900,0.2157,0.2476,True,100
0.5,0.3,0.3,90,0.7600,0.1812,0.2129,True,100
0.5,0.3,0.3,110,0.9400,0.1688,0.1929,True,100
0.5,0.3,0.3,130,1.0000,0.1540,0.1713,True,100
0.5,0.3,0.3,150,1.0000,0.1440,0.1620,True,100
0.5,0.3,0.3,200,1.0000,0.1244,0.1386,True,100
0.5,0.4,0.4,30,0.0400,0.2972,0.3714,True,100
0.5,0.4,0.4,50,0.1500,0.2273,0.2723,True,100
0.5,0.4,0.4,70,0.5700,0.1950,0.2289,True,100
0.5,0.4,0.4,90,0.8800,0.1726,0.2029,True,100
0.5,0.4,0.4,110,0.9900,0.1579,0.1815,True,100
0.5,0.4,0.4,130,1.0000,0.1438,0.1608,True,100
0.5,0.4,0.4,150,1.0000,0.1351,0.1542,True,100
0.5,0.4,0.4,200,1.0000,0.1163,0.1318,True,100
0.5,0.5,0.5,30,0.0400,0.2981,0.3444,True,100
0.5,0.5,0.5,50,0.1700,0.2248,0.2617,True,100
0.5,0.5,0.5,70,0.5800,0.1961,0.2359,True,100
0.5,0.5,0.5,90,0.9000,0.1770,0.1998,True,100
0.5,0.5,0.5,110,1.0000,0.1520,0.1757,True,100
0.5,0.5,0.5,130,1.0000,0.1401,0.1596,True,100
0.5,0.5,0.5,150,1.0000,0.1298,0.1475,True,100
0.5,0.5,0.5,200,1.0000,0.1161,0.1323,True,100
0.5,0.3,0.5,30,0.1800,0.2585,0.3324,True,100
0.5,0.3,0.5,50,0.4900,0.2012,0.2391,True,100
0.5,0.3,0.5,70,0.8600,0.1689,0.2075,True,100
0.5,0.3,0.5,90,0.9900,0.1516,0.1792,True,100
0.5,0.3,0.5,110,0.9900,0.1373,0.1578,True,100
0.5,0.3,0.5,130,1.0000,0.1282,0.1486,True,100
0.5,0.3,0.5,150,1.0000,0.1194,0.1399,True,100
0.5,0.3,0.5,200,1.0000,0.1014,0.1180,True,100
0.8,0.2,0.2,30,0.3700,0.2215,0.3980,True,100
0.8,0.2,0.2,50,0.6700,0.1815,0.2729,True,100
0.8,0.2,0.2,70,0.6800,0.1708,0.2372,True,100
0.8,0.2,0.2,90,0.9200,0.1486,0.1985,True,100
0.8,0.2,0.2,110,1.0000,0.1351,0.1595,True,100
0.8,0.2,0.2,130,1.0000,0.1194,0.1573,True,100
0.8,0.2,0.2,150,1.0000,0.1143,0.1370,True,100
0.8,0.2,0.2,200,1.0000,0.0991,0.1188,True,100
0.8,0.3,0.3,30,0.4900,0.2007,0.3144,True,100
0.8,0.3,0.3,50,0.8000,0.1622,0.2233,True,100
0.8,0.3,0.3,70,0.9300,0.1499,0.1946,True,100
0.8,0.3,0.3,90,0.9900,0.1263,0.1679,True,100
0.8,0.3,0.3,110,1.0000,0.1131,0.1423,True,100
0.8,0.3,0.3,130,1.0000,0.1034,0.1296,True,100
0.8,0.3,0.3,150,1.0000,0.0972,0.1225,True,100
0.8,0.3,0.3,200,1.0000,0.0851,0.1028,True,100
0.8,0.4,0.4,30,0.5300,0.1862,0.2654,True,100
0.8,0.4,0.4,50,0.9000,0.1502,0.1993,True,100
0.8,0.4,0.4,70,0.9800,0.1306,0.1721,True,100
0.8,0.4,0.4,90,1.0000,0.1209,0.1531,True,100
0.8,0.4,0.4,110,1.0000,0.1085,0.1291,True,100
0.8,0.4,0.4,130,1.0000,0.0982,0.1151,True,100
0.8,0.4,0.4,150,1.0000,0.0926,0.1141,True,100
0.8,0.4,0.4,200,1.0000,0.0805,0.0934,True,100
0.8,0.5,0.5,30,0.5300,0.1953,0.2756,True,100
0.8,0.5,0.5,50,0.9300,0.1490,0.1978,True,100
0.8,0.5,0.5,70,1.0000,0.1288,0.1673,True,100
0.8,0.5,0.5,90,1.0000,0.1172,0.1407,True,100
0.8,0.5,0.5,110,1.0000,0.1070,0.1259,True,100
0.8,0.5,0.5,130,1.0000,0.0951,0.1135,True,100
0.8,0.5,0.5,150,1.0000,0.0889,0.1039,True,100
0.8,0.5,0.5,200,1.0000,0.0793,0.0903,True,100
0.8,0.3,0.5,30,0.0000,nan,nan,False,0
0.8,0.3,0.5,50,0.0000,nan,nan,False,0
0.8,0.3,0.5,70,0.0000,nan,nan,False,0
0.8,0.3,0.5,90,0.0000,nan,nan,False,0
0.8,0.3,0.5,110,0.0000,nan,nan,False,0
0.8,0.3,0.5,130,0.0000,nan,nan,False,0
0.8,0.3,0.5,150,0.0000,nan,nan,False,0
0.8,0.3,0.5,200,0.0000,nan,nan,False,0
